SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN,CC_AMT_INST_MIN_REGULARITY_MEAN,BURO_MONTHS_BALANCE_MIN_MIN,BURO_DAYS_CREDIT_UPDATE_MEAN,CC_AMT_TOTAL_RECEIVABLE_MAX,CC_AMT_RECIVABLE_MAX,CC_AMT_BALANCE_MIN,CC_AMT_RECIVABLE_MIN,CC_AMT_RECEIVABLE_PRINCIPAL_MIN,CC_MONTHS_BALANCE_MIN,CLOSED_MONTHS_BALANCE_MIN_MIN,CC_CNT_DRAWINGS_ATM_CURRENT_VAR,REGION_RATING_CLIENT_W_CITY,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN
425417,0.3825018041447388,0.0019904000989791,0.6973850349828506,-22824.0,0.3103448275862069,0.4090909090909091,0.6551724137931034,0.0,-63.0,-338.72727272727275,0.0,0.0,0.0,0.0,0.0,-34.0,-63.0,0.0,2.0,0.0
116969,0.6817058776720116,0.5661655414264166,0.5174515531911259,-12250.0,0.0,0.36363636363636365,1.0,6897.391478873239,-83.6,-689.3636363636364,470717.37,470717.37,0.0,-3526.335,0.0,-73.0,-83.6,6.014459665144596,1.0,25450.368287671234
208791,0.501075160239048,0.7316882026229096,0.5370584757478576,-10661.0,0.0,0.6,0.9166666666666667,6254.723181402439,-68.6,-654.2,245545.794,245545.794,25584.714,25584.714,25176.167999999998,-23.0,-56.4,1.365062015503876,2.0,12301.098837209302
399703,0.4965248117138855,0.266716463646215,0.7402575827053057,-20782.0,0.0,0.5733333333333334,1.0,0.0,-66.6,-447.2366666666667,0.0,0.0,0.0,0.0,0.0,-9.0,-66.6,1.08,2.0,6840.0
435238,0.4794489811780563,0.3585684988353451,0.4829804056069474,-10292.0,0.0,0.4,1.0,6955.40518,-53.0,-545.8,187992.639,187992.639,186.3,186.3,186.3,-12.4,-53.0,10.39681526629097,2.0,36314.107142857145
189764,0.4614823912998385,0.6381087914740751,0.7324706652055597,-18768.0,0.0,0.23529411764705882,1.0,4734.81374671659,-72.2,-864.5882352941177,171039.663,171039.663,0.0,0.0,0.0,-61.4,-67.4,0.900117064245442,2.0,10087.686073938577
296346,0.6075573001388961,0.7160210520573465,0.7939646960964698,-14887.0,0.0,0.07142857142857142,1.0,5095.527500000001,-84.0,-1075.7142857142858,172723.644,172723.644,59865.615000000005,59865.615000000005,59462.352,-23.2,-84.0,5.912576312576313,2.0,21241.51098901099
372220,0.5748798924384209,0.4969732603473035,0.3721581076363698,-10463.0,0.0,0.5666666666666667,1.0,8302.839578571427,-42.8,-355.79333333333335,318934.98,318934.98,51187.203,51187.203,49420.827000000005,-19.8,-56.8,0.6217122744164486,3.0,10916.538461538461
350186,0.5231166433249524,0.5757592055780811,0.627843612907782,-23370.0,0.3333333333333333,1.0,0.6666666666666666,2186.2544684210525,-50.6,-2.0,72573.822,72573.822,0.0,-24.003,0.0,-32.6,-50.6,0.1142440910603729,2.0,2085.6397459165155
325785,0.3944954053123993,0.5822196173494516,0.32414247780762795,-10033.0,0.0,0.42857142857142855,1.0,1616.70504,-18.8,-172.14285714285714,89938.926,89938.926,0.0,0.0,0.0,-14.6,-19.4,5.125714285714286,2.0,17539.285714285714
106305,0.2650494299443805,0.5729258140795367,0.41232394245522863,-11370.0,0.2222222222222222,0.5,0.7777777777777778,10989.210857142858,-86.0,-559.5,299064.78,299064.78,77379.435,77509.935,75379.23,-37.0,-86.0,0.9357142857142857,2.0,8475.0
117621,0.5586965913298627,0.2858978721410488,0.242180291199587,-10777.0,0.14285714285714285,0.5,0.8571428571428571,938.3334146341463,-71.0,-735.0,75571.245,75571.245,0.0,-2544.66,0.0,-83.0,-71.0,0.48339700264472524,2.0,2900.602409638554
362656,0.511891801533151,0.7283047799914071,0.49955532010042647,-15407.0,0.0,0.25,1.0,0.0,-70.2,-1182.375,0.0,0.0,0.0,0.0,0.0,-6.0,-70.2,0.07999999999999999,2.0,1800.0
309169,0.4276573700350293,0.5708002935699689,0.5978504032870844,-24520.0,0.15789473684210525,0.6,0.8421052631578947,3353.594369736842,-25.0,-268.4,131983.992,131542.992,27551.367000000006,27200.763,26458.173,-46.2,-25.0,0.41947681704260653,2.0,12269.654605263157
